Date,Cured,Confirmed,Deaths,mortal_rate,cured_rate,confirmation_increase_rate,cured_increase_rate
30/01/20,0,1,0,0,0,0,0
31/01/20,0,1,0,0,0,0,0
01/02/20,0,2,0,0,0,0.5,0
02/02/20,0,3,0,0,0,0.333333333333333,0
03/02/20,0,3,0,0,0,0,0
04/02/20,0,3,0,0,0,0,0
05/02/20,0,3,0,0,0,0,0
06/02/20,0,3,0,0,0,0,0
07/02/20,0,3,0,0,0,0,0
08/02/20,0,3,0,0,0,0,0
09/02/20,0,3,0,0,0,0,0
10/02/20,0,3,0,0,0,0,0
11/02/20,0,3,0,0,0,0,0
12/02/20,0,3,0,0,0,0,0
13/02/20,0,3,0,0,0,0,0
14/02/20,0,3,0,0,0,0,0
15/02/20,0,3,0,0,0,0,0
16/02/20,0,3,0,0,0,0,0
17/02/20,0,3,0,0,0,0,0
18/02/20,0,3,0,0,0,0,0
19/02/20,0,3,0,0,0,0,0
20/02/20,0,3,0,0,0,0,0
21/02/20,0,3,0,0,0,0,0
22/02/20,0,3,0,0,0,0,0
23/02/20,0,3,0,0,0,0,0
24/02/20,0,3,0,0,0,0,0
25/02/20,0,3,0,0,0,0,0
26/02/20,0,3,0,0,0,0,0
27/02/20,0,3,0,0,0,0,0
28/02/20,0,3,0,0,0,0,0
29/02/20,0,3,0,0,0,0,0
01/03/20,0,3,0,0,0,0,0
02/03/20,0,5,0,0,0,0.4,0
03/03/20,3,6,0,0,0.5,0.166666666666667,1
04/03/20,3,28,0,0,0.107142857142857,0.785714285714286,0
05/03/20,3,30,0,0,0.1,0.066666666666667,0
06/03/20,3,31,0,0,0.096774193548387,0.032258064516129,0
07/03/20,3,34,0,0,0.088235294117647,0.088235294117647,0
08/03/20,3,39,0,0,0.076923076923077,0.128205128205128,0
09/03/20,3,46,0,0,0.065217391304348,0.152173913043478,0
10/03/20,3,58,0,0,0.051724137931035,0.206896551724138,0
11/03/20,3,60,0,0,0.05,0.033333333333333,0
12/03/20,3,74,0,0,0.040540540540541,0.189189189189189,0
13/03/20,3,81,1,0.012345679012346,0.037037037037037,0.08641975308642,0
14/03/20,10,84,2,0.023809523809524,0.119047619047619,0.035714285714286,0.7
15/03/20,13,110,2,0.018181818181818,0.118181818181818,0.236363636363636,0.230769230769231
16/03/20,13,114,2,0.017543859649123,0.114035087719298,0.035087719298246,0
17/03/20,14,137,3,0.021897810218978,0.102189781021898,0.167883211678832,0.071428571428572
18/03/20,14,151,3,0.019867549668874,0.09271523178808,0.09271523178808,0
19/03/20,20,173,4,0.023121387283237,0.115606936416185,0.127167630057803,0.3
20/03/20,23,223,4,0.017937219730942,0.103139013452915,0.224215246636771,0.130434782608696
21/03/20,23,283,4,0.014134275618375,0.081272084805654,0.212014134275618,0
