Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
1646,06/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1679,07/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1712,08/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1745,09/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1778,10/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1811,11/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1844,12/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1877,13/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1910,14/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1943,15/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
1976,16/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2009,17/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2042,18/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2075,19/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2108,20/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2142,21/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2176,22/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2210,23/05/20,Dadar Nagar Haveli,0,0,1,0.0,0.0
2244,24/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2279,25/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2314,26/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2350,27/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2386,28/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2422,29/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2458,30/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2494,31/05/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2530,01/06/20,Dadar Nagar Haveli,0,0,2,0.0,0.0
2566,02/06/20,Dadar Nagar Haveli,1,0,3,0.0,0.3333333333333333
2602,03/06/20,Dadar Nagar Haveli,1,0,4,0.0,0.25
2638,04/06/20,Dadar Nagar Haveli,1,0,8,0.0,0.125
2674,05/06/20,Dadar Nagar Haveli,1,0,12,0.0,0.08333333333333333
