Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
353,25/03/20,Mizoram,0,0,1,0.0,0.0
383,26/03/20,Mizoram,0,0,1,0.0,0.0
410,27/03/20,Mizoram,0,0,1,0.0,0.0
437,28/03/20,Mizoram,0,0,1,0.0,0.0
464,29/03/20,Mizoram,0,0,1,0.0,0.0
491,30/03/20,Mizoram,0,0,1,0.0,0.0
519,31/03/20,Mizoram,0,0,1,0.0,0.0
549,01/04/20,Mizoram,0,0,1,0.0,0.0
578,02/04/20,Mizoram,0,0,1,0.0,0.0
608,03/04/20,Mizoram,0,0,1,0.0,0.0
639,04/04/20,Mizoram,0,0,1,0.0,0.0
669,05/04/20,Mizoram,0,0,1,0.0,0.0
699,06/04/20,Mizoram,0,0,1,0.0,0.0
729,07/04/20,Mizoram,0,0,1,0.0,0.0
760,08/04/20,Mizoram,0,0,1,0.0,0.0
791,09/04/20,Mizoram,0,0,1,0.0,0.0
822,10/04/20,Mizoram,0,0,1,0.0,0.0
853,11/04/20,Mizoram,0,0,1,0.0,0.0
884,12/04/20,Mizoram,0,0,1,0.0,0.0
915,13/04/20,Mizoram,0,0,1,0.0,0.0
948,14/04/20,Mizoram,0,0,1,0.0,0.0
981,15/04/20,Mizoram,0,0,1,0.0,0.0
1014,16/04/20,Mizoram,0,0,1,0.0,0.0
1047,17/04/20,Mizoram,0,0,1,0.0,0.0
1080,18/04/20,Mizoram,0,0,1,0.0,0.0
1113,19/04/20,Mizoram,0,0,1,0.0,0.0
1146,20/04/20,Mizoram,0,0,1,0.0,0.0
1179,21/04/20,Mizoram,0,0,1,0.0,0.0
1212,22/04/20,Mizoram,0,0,1,0.0,0.0
1244,23/04/20,Mizoram,0,0,1,0.0,0.0
1276,24/04/20,Mizoram,0,0,1,0.0,0.0
1308,25/04/20,Mizoram,0,0,1,0.0,0.0
1340,26/04/20,Mizoram,0,0,1,0.0,0.0
1372,27/04/20,Mizoram,0,0,1,0.0,0.0
1404,28/04/20,Mizoram,0,0,1,0.0,0.0
1436,29/04/20,Mizoram,0,0,1,0.0,0.0
1468,30/04/20,Mizoram,0,0,1,0.0,0.0
1500,01/05/20,Mizoram,0,0,1,0.0,0.0
1532,02/05/20,Mizoram,0,0,1,0.0,0.0
1564,03/05/20,Mizoram,0,0,1,0.0,0.0
1596,04/05/20,Mizoram,0,0,1,0.0,0.0
1628,05/05/20,Mizoram,0,0,1,0.0,0.0
1661,06/05/20,Mizoram,0,0,1,0.0,0.0
1694,07/05/20,Mizoram,0,0,1,0.0,0.0
1727,08/05/20,Mizoram,0,0,1,0.0,0.0
1760,09/05/20,Mizoram,0,0,1,0.0,0.0
1793,10/05/20,Mizoram,1,0,1,0.0,1.0
1826,11/05/20,Mizoram,1,0,1,0.0,1.0
1859,12/05/20,Mizoram,1,0,1,0.0,1.0
1892,13/05/20,Mizoram,1,0,1,0.0,1.0
1925,14/05/20,Mizoram,1,0,1,0.0,1.0
1958,15/05/20,Mizoram,1,0,1,0.0,1.0
1991,16/05/20,Mizoram,1,0,1,0.0,1.0
2024,17/05/20,Mizoram,1,0,1,0.0,1.0
2057,18/05/20,Mizoram,1,0,1,0.0,1.0
2090,19/05/20,Mizoram,1,0,1,0.0,1.0
2123,20/05/20,Mizoram,1,0,1,0.0,1.0
2157,21/05/20,Mizoram,1,0,1,0.0,1.0
2191,22/05/20,Mizoram,1,0,1,0.0,1.0
2225,23/05/20,Mizoram,1,0,1,0.0,1.0
2259,24/05/20,Mizoram,1,0,1,0.0,1.0
2294,25/05/20,Mizoram,1,0,1,0.0,1.0
2329,26/05/20,Mizoram,1,0,1,0.0,1.0
2365,27/05/20,Mizoram,1,0,1,0.0,1.0
2401,28/05/20,Mizoram,1,0,1,0.0,1.0
2437,29/05/20,Mizoram,1,0,1,0.0,1.0
2473,30/05/20,Mizoram,1,0,1,0.0,1.0
2509,31/05/20,Mizoram,1,0,1,0.0,1.0
2545,01/06/20,Mizoram,1,0,1,0.0,1.0
2581,02/06/20,Mizoram,1,0,1,0.0,1.0
2617,03/06/20,Mizoram,1,0,13,0.0,0.07692307692307693
2653,04/06/20,Mizoram,1,0,14,0.0,0.07142857142857142
2689,05/06/20,Mizoram,1,0,17,0.0,0.058823529411764705
