Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
169,16/03/20,Odisha,0,0,1,0.0,0.0
184,17/03/20,Odisha,0,0,1,0.0,0.0
199,18/03/20,Odisha,0,0,1,0.0,0.0
217,19/03/20,Odisha,0,0,1,0.0,0.0
237,20/03/20,Odisha,0,0,2,0.0,0.0
259,21/03/20,Odisha,0,0,2,0.0,0.0
282,22/03/20,Odisha,0,0,2,0.0,0.0
305,23/03/20,Odisha,0,0,2,0.0,0.0
329,24/03/20,Odisha,0,0,2,0.0,0.0
354,25/03/20,Odisha,0,0,2,0.0,0.0
384,26/03/20,Odisha,0,0,2,0.0,0.0
411,27/03/20,Odisha,0,0,2,0.0,0.0
438,28/03/20,Odisha,0,0,3,0.0,0.0
465,29/03/20,Odisha,0,0,3,0.0,0.0
492,30/03/20,Odisha,0,0,3,0.0,0.0
520,31/03/20,Odisha,0,0,3,0.0,0.0
550,01/04/20,Odisha,0,0,4,0.0,0.0
579,02/04/20,Odisha,0,0,4,0.0,0.0
609,03/04/20,Odisha,0,0,5,0.0,0.0
640,04/04/20,Odisha,0,0,5,0.0,0.0
670,05/04/20,Odisha,0,0,20,0.0,0.0
700,06/04/20,Odisha,2,0,21,0.0,0.09523809523809523
730,07/04/20,Odisha,2,1,42,0.023809523809523808,0.047619047619047616
761,08/04/20,Odisha,2,1,42,0.023809523809523808,0.047619047619047616
792,09/04/20,Odisha,2,1,42,0.023809523809523808,0.047619047619047616
823,10/04/20,Odisha,2,1,44,0.022727272727272728,0.045454545454545456
854,11/04/20,Odisha,2,1,48,0.020833333333333332,0.041666666666666664
885,12/04/20,Odisha,12,1,54,0.018518518518518517,0.2222222222222222
917,13/04/20,Odisha,12,1,54,0.018518518518518517,0.2222222222222222
950,14/04/20,Odisha,18,1,55,0.01818181818181818,0.32727272727272727
983,15/04/20,Odisha,18,1,60,0.016666666666666666,0.3
1016,16/04/20,Odisha,18,1,60,0.016666666666666666,0.3
1049,17/04/20,Odisha,19,1,60,0.016666666666666666,0.31666666666666665
1082,18/04/20,Odisha,21,1,60,0.016666666666666666,0.35
1115,19/04/20,Odisha,24,1,61,0.01639344262295082,0.39344262295081966
1148,20/04/20,Odisha,24,1,68,0.014705882352941176,0.35294117647058826
1181,21/04/20,Odisha,24,1,74,0.013513513513513514,0.32432432432432434
1213,22/04/20,Odisha,30,1,82,0.012195121951219513,0.36585365853658536
1245,23/04/20,Odisha,32,1,83,0.012048192771084338,0.3855421686746988
1277,24/04/20,Odisha,33,1,90,0.011111111111111112,0.36666666666666664
1309,25/04/20,Odisha,33,1,94,0.010638297872340425,0.35106382978723405
1341,26/04/20,Odisha,34,1,103,0.009708737864077669,0.3300970873786408
1373,27/04/20,Odisha,35,1,108,0.009259259259259259,0.32407407407407407
1405,28/04/20,Odisha,37,1,118,0.00847457627118644,0.3135593220338983
1437,29/04/20,Odisha,38,1,119,0.008403361344537815,0.31932773109243695
1469,30/04/20,Odisha,39,1,128,0.0078125,0.3046875
1501,01/05/20,Odisha,41,1,143,0.006993006993006993,0.2867132867132867
1533,02/05/20,Odisha,55,1,149,0.006711409395973154,0.3691275167785235
1565,03/05/20,Odisha,56,1,160,0.00625,0.35
1597,04/05/20,Odisha,60,1,163,0.006134969325153374,0.36809815950920244
1629,05/05/20,Odisha,60,1,170,0.0058823529411764705,0.35294117647058826
1662,06/05/20,Odisha,60,1,175,0.005714285714285714,0.34285714285714286
1695,07/05/20,Odisha,61,2,185,0.010810810810810811,0.32972972972972975
1728,08/05/20,Odisha,62,2,219,0.0091324200913242,0.2831050228310502
1761,09/05/20,Odisha,63,2,271,0.007380073800738007,0.23247232472324722
1794,10/05/20,Odisha,63,2,294,0.006802721088435374,0.21428571428571427
1827,11/05/20,Odisha,68,3,377,0.007957559681697613,0.18037135278514588
1860,12/05/20,Odisha,85,3,414,0.007246376811594203,0.20531400966183574
1893,13/05/20,Odisha,116,3,437,0.006864988558352402,0.2654462242562929
1926,14/05/20,Odisha,143,3,538,0.0055762081784386614,0.26579925650557623
1959,15/05/20,Odisha,158,3,611,0.004909983633387889,0.25859247135842883
1992,16/05/20,Odisha,166,3,672,0.004464285714285714,0.24702380952380953
2025,17/05/20,Odisha,196,3,737,0.004070556309362279,0.26594301221166894
2058,18/05/20,Odisha,220,4,828,0.004830917874396135,0.26570048309178745
2091,19/05/20,Odisha,220,4,876,0.0045662100456621,0.2511415525114155
2124,20/05/20,Odisha,277,5,978,0.005112474437627812,0.2832310838445808
2158,21/05/20,Odisha,307,6,1052,0.005703422053231939,0.29182509505703425
2192,22/05/20,Odisha,393,7,1103,0.006346328195829556,0.3563009972801451
2226,23/05/20,Odisha,436,7,1189,0.005887300252312868,0.3666947014297729
2260,24/05/20,Odisha,497,7,1269,0.005516154452324665,0.39164696611505123
2295,25/05/20,Odisha,550,7,1336,0.005239520958083832,0.4116766467065868
2331,26/05/20,Odisha,649,7,1438,0.004867872044506259,0.4513212795549374
2367,27/05/20,Odisha,733,7,1517,0.004614370468029005,0.4831905075807515
2403,28/05/20,Odisha,733,7,1593,0.004394224733207784,0.4601381042059008
2439,29/05/20,Odisha,887,7,1660,0.004216867469879518,0.5343373493975904
2475,30/05/20,Odisha,887,7,1723,0.004062681369704005,0.5147997678467788
2511,31/05/20,Odisha,1050,7,1819,0.0038482682792743265,0.577240241891149
2547,01/06/20,Odisha,1126,7,1948,0.003593429158110883,0.5780287474332649
2583,02/06/20,Odisha,1245,7,2104,0.003326996197718631,0.5917300380228137
2619,03/06/20,Odisha,1325,7,2245,0.0031180400890868597,0.5902004454342984
2655,04/06/20,Odisha,1416,7,2388,0.002931323283082077,0.592964824120603
2691,05/06/20,Odisha,1416,7,2478,0.002824858757062147,0.5714285714285714
